identifier,title
5.51.01.09.water,Access to water
SE.PRM.TENR,"Adjusted net enrollment rate, primary (% of primary school age children)"
SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)"
SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)"
UIS.NIRA.1.F,Adjusted net intake rate (%). Primary. Female
UIS.NIRA.1.M,Adjusted net intake rate (%). Primary. Male
UIS.NIRA.1,Adjusted net intake rate (%). Primary. Total
UIS.LPP.AG15T99,Adult illiterate population. % female
UIS.LP.AG15T99.F,Adult illiterate population. Female
UIS.LP.AG15T99.M,Adult illiterate population. Male
UIS.LP.AG15T99,Adult illiterate population. Total
UIS.AFR.CS.1.PU,Africa Dataset: Average class size. All classes. Primary. Public
UIS.AFR.CS.MG.1.PU,Africa Dataset: Average class size. Multigrade classes. Primary. Public
UIS.AFR.CS.SG.1.G1.PU,Africa Dataset: Average class size. Single grade classes. Grade 1. Primary. Public
UIS.AFR.CS.SG.1.G2.PU,Africa Dataset: Average class size. Single grade classes. Grade 2. Primary. Public
UIS.AFR.CS.SG.1.G3.PU,Africa Dataset: Average class size. Single grade classes. Grade 3. Primary. Public
UIS.AFR.CS.SG.1.G4.PU,Africa Dataset: Average class size. Single grade classes. Grade 4. Primary. Public
UIS.AFR.CS.SG.1.G5.PU,Africa Dataset: Average class size. Single grade classes. Grade 5. Primary. Public
UIS.AFR.CS.SG.1.G6.PU,Africa Dataset: Average class size. Single grade classes. Grade 6. Primary. Public
UIS.AFR.CS.SG.1.PU,Africa Dataset: Average class size. Single grade classes. Primary. Public
UIS.AFR.FNTP.2,Africa Dataset: Newly recruited teachers. % female. Lower secondary. Public
UIS.AFR.FNTP.1,Africa Dataset: Newly recruited teachers. % female. Primary. Public
UIS.AFR.FNTP.3,Africa Dataset: Newly recruited teachers. % female. Upper secondary. Public
UIS.AFR.TRNTP.2.PU.F,Africa Dataset: Newly recruited teachers. % trained. Lower secondary. Public. Female
UIS.AFR.TRNTP.2.PU.M,Africa Dataset: Newly recruited teachers. % trained. Lower secondary. Public. Male
UIS.AFR.TRNTP.2.PU.T,Africa Dataset: Newly recruited teachers. % trained. Lower secondary. Public. Total
